STEP 0
FIRE 0 0 67.00 VOLTAGE 87.10
FIRE 0 2 60.00 VOLTAGE 78.00
FIRE 1 5 60.00 VOLTAGE 78.00
FIRE 3 2 64.00 VOLTAGE 83.20
FIRE 3 6 68.00 VOLTAGE 88.40
FIRE 3 7 61.00 VOLTAGE 79.30
FIRE 3 9 62.00 VOLTAGE 80.60
FIRE 4 1 64.00 VOLTAGE 83.20
FIRE 4 3 69.00 VOLTAGE 89.70
FIRE 4 4 68.00 VOLTAGE 88.40
FIRE 4 7 68.00 VOLTAGE 88.40
FIRE 5 7 63.00 VOLTAGE 81.90
FIRE 5 8 66.00 VOLTAGE 85.80
FIRE 6 0 63.00 VOLTAGE 81.90
FIRE 6 1 64.00 VOLTAGE 83.20
FIRE 6 3 61.00 VOLTAGE 79.30
FIRE 6 7 65.00 VOLTAGE 84.50
FIRE 7 3 60.00 VOLTAGE 78.00
FIRE 7 9 64.00 VOLTAGE 83.20
FIRE 8 0 64.00 VOLTAGE 83.20
FIRE 8 2 70.00 VOLTAGE 91.00
FIRE 8 3 64.00 VOLTAGE 83.20
FIRE 9 3 67.00 VOLTAGE 87.10
FIRE 9 6 61.00 VOLTAGE 79.30
FIRE 9 9 63.00 VOLTAGE 81.90
ANIMAL 1 4.0 1.0 36.0
ANIMAL 2 0.0 1.0 38.0
ANIMAL 3 8.0 0.0 35.0
ANIMAL 4 2.0 6.0 35.0
ANIMAL 5 9.0 2.0 37.0
STEP 1
FIRE 1 0 69.00 VOLTAGE 89.70
FIRE 2 1 68.00 VOLTAGE 88.40
FIRE 2 2 68.00 VOLTAGE 88.40
FIRE 2 4 61.00 VOLTAGE 79.30
FIRE 2 5 66.00 VOLTAGE 85.80
FIRE 2 7 63.00 VOLTAGE 81.90
FIRE 3 1 69.00 VOLTAGE 89.70
FIRE 3 2 64.00 VOLTAGE 83.20
FIRE 3 4 66.00 VOLTAGE 85.80
FIRE 3 8 70.00 VOLTAGE 91.00
FIRE 3 9 67.00 VOLTAGE 87.10
FIRE 4 0 62.00 VOLTAGE 80.60
FIRE 4 1 61.00 VOLTAGE 79.30
FIRE 4 5 69.00 VOLTAGE 89.70
FIRE 4 8 69.00 VOLTAGE 89.70
FIRE 4 9 68.00 VOLTAGE 88.40
FIRE 5 6 60.00 VOLTAGE 78.00
FIRE 6 1 69.00 VOLTAGE 89.70
FIRE 6 3 63.00 VOLTAGE 81.90
FIRE 6 4 70.00 VOLTAGE 91.00
FIRE 6 7 62.00 VOLTAGE 80.60
FIRE 7 6 69.00 VOLTAGE 89.70
FIRE 8 1 68.00 VOLTAGE 88.40
FIRE 8 7 64.00 VOLTAGE 83.20
FIRE 9 5 64.00 VOLTAGE 83.20
FIRE 9 6 65.00 VOLTAGE 84.50
FIRE 9 8 62.00 VOLTAGE 80.60
ANIMAL 1 4.0 1.0 36.0
ANIMAL 2 0.0 2.0 36.0
ANIMAL 3 9.0 1.0 40.0
ANIMAL 4 2.0 7.0 39.0
ANIMAL 5 8.0 1.0 40.0
STEP 2
FIRE 0 2 68.00 VOLTAGE 88.40
FIRE 0 3 64.00 VOLTAGE 83.20
FIRE 0 6 62.00 VOLTAGE 80.60
